FULL NAME,TEAM,WingSpan(cm),POS,AGE,GP,MPG,MIN%Minutes Percentage,USG%Usage Rate,TO%Turnover Rate,FTA,FT,FT%,2PA,2P,2P%,3PA,3P,3P%,eFG,eFG%Effective Shooting Percentage,TS,TS%True Shooting Percentage,PPGPoints per game.,RPGRebounds per game.,TRB%Total Rebound Percentage,APGAssists per game.,Assist Percentage,SPGSteals per game.,BPGBlocks per game.,TOPGTurnovers per game.,VI,ORTG,DRTG
Willie Cauley-Stein,Dal,220.98,C,27.75,53,17.1,35.6,12,11.8,78,62.8,0.628,171,66.7,0.667,11,9.1,0.091,63.5,0.635,64.7,0.647,5.3,4.5,14.4,0.7,5.3,0.4,0.81,0.55,6,128,99.5
Chris Chiozza,Bro,185.42,G,25.49,22,10.6,22,20.9,14.4,17,76.5,0.765,46,39.1,0.391,42,31,0.31,42.6,0.426,46.1,0.461,4,1.1,5.7,3,36.9,0.32,0.27,0.73,8.9,107.2,109.6
Marquese Chriss,Gol,215.9,F,23.87,2,13.4,27.8,28.4,11.3,4,50,0.5,9,44.4,0.444,5,20,0.2,39.3,0.393,41.2,0.412,6.5,6.5,25.9,1,11.2,0,1,1,10.4,87.7,97.5
Brandon Clarke,Mem,203.84,F-G,24.66,59,24,50,17.3,5.7,113,69,0.69,418,56.5,0.565,77,26,0.26,53.7,0.537,56,0.56,10.3,5.6,12.3,1.6,9.5,1.03,0.86,0.56,7.5,118.6,107.7
Gary Clark,Orl,208.28,F,26.5,35,18.2,37.9,10.3,11.2,10,80,0.8,23,39.1,0.391,108,28.7,0.287,42.4,0.424,43.9,0.439,3.4,3.2,9.1,0.9,6.4,0.34,0.2,0.49,4.7,96.9,112.9
Gary Clark,Den,208.28,F,26.5,2,2.1,4.3,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0.5,13.8,0,0,0,0,0,0,,
Gary Clark,Phi,208.28,F,26.5,2,6.4,13.3,3.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8.6,0.5,9.1,0.5,0,0,0,56.9,100.4
Jordan Clarkson,Uta,203.2,G,28.94,68,26.7,55.7,29.8,9.2,144,89.6,0.896,476,52.3,0.523,599,34.7,0.347,52.2,0.522,54.9,0.549,18.4,4,8,2.5,15.3,0.9,0.15,1.69,8.5,108.9,105.2
Nicolas Claxton,Bro,219.71,F-C,22.08,32,18.6,38.7,14,9.4,64,48.4,0.484,140,63.6,0.636,5,20,0.2,62.4,0.624,61.2,0.612,6.6,5.2,15.4,0.9,6.4,0.72,1.25,0.56,6.7,123.5,102.1
Amir Coffey,Lac,193.04,G-F,23.92,44,9,18.7,15.1,11.1,38,71.1,0.711,47,46.8,0.468,56,41.1,0.411,54.9,0.549,58.5,0.585,3.2,1,6.3,0.5,7.4,0.23,0,0.34,5.2,114.5,108
John Collins,Atl,211.46,F-C,23.65,63,29.3,61.1,22.2,8.9,204,83.3,0.833,563,61.5,0.615,208,39.9,0.399,61,0.61,64.5,0.645,17.6,7.4,13.8,1.2,6.9,0.54,1,1.33,7.4,124.3,104.1
Mike Conley,Uta,197.49,G,33.6,51,29.4,61.2,23.1,12.4,142,85.2,0.852,305,47.9,0.479,335,41.2,0.412,55.2,0.552,58.9,0.589,16.2,3.5,6.2,6,30.6,1.37,0.18,1.94,9.5,122.3,104.6
Pat Connaughton,Mil,205.11,G,28.36,69,22.8,47.5,11.6,7.5,40,77.5,0.775,115,58.3,0.583,272,37.1,0.371,56.5,0.565,57.8,0.578,6.8,4.8,11.1,1.2,6.3,0.68,0.33,0.48,6,120.2,107.6
Quinn Cook,Lal,193.04,G,28.15,16,3.9,8.1,21.8,9.6,5,80,0.8,13,53.8,0.538,13,38.5,0.385,55.8,0.558,58.5,0.585,2.1,0.3,4.5,0.3,12.5,0.06,0.06,0.19,5.9,,
Quinn Cook,Cle,193.04,G,28.15,7,13.6,28.4,21.6,8.5,3,100,1,29,37.9,0.379,13,46.2,0.462,47.6,0.476,49.6,0.496,6.1,1.7,7,1.9,22.1,0.43,0,0.57,7.9,104.9,109.7
Tyler Cook,Bro,212.09,F,23.65,4,4.2,8.6,10.5,25,0,0,0,3,33.3,0.333,0,0,0,33.3,0.333,33.3,0.333,0.5,0.5,6.7,0.5,14.5,0,0,0.25,4.8,88,108.1
Tyler Cook,Det,212.09,F,23.65,28,15,31.3,14.2,15.4,35,48.6,0.486,98,68.4,0.684,2,50,0.5,68.5,0.685,66.7,0.667,5.5,3.4,12.4,0.5,5.6,0.29,0.07,0.75,5.6,117.2,107.8
DeMarcus Cousins,Hou,228.6,C,30.76,25,20.2,42.2,23.1,14.2,59,74.6,0.746,94,42.6,0.426,116,33.6,0.336,46.9,0.469,51.1,0.511,9.6,7.6,20.1,2.4,18,0.84,0.72,1.56,11.1,101.7,97.7
DeMarcus Cousins,Lac,228.6,C,30.76,16,12.9,26.9,27.8,19.3,22,68.2,0.682,76,56.6,0.566,19,42.1,0.421,57.9,0.579,59.7,0.597,7.8,4.5,19.6,1,12.4,0.81,0.38,1.56,10.2,106.1,92
Robert Covington,Por,217.81,F,30.42,70,32,66.8,11.5,10.7,62,80.6,0.806,153,45.1,0.451,356,37.9,0.379,53.3,0.533,55.3,0.553,8.5,6.7,11.1,1.7,6.8,1.44,1.2,0.91,5.7,112.2,107.8
Torrey Craig,Mil,215.9,F,30.41,18,11.2,23.3,10.8,9.6,2,50,0.5,24,41.7,0.417,22,36.4,0.364,47.8,0.478,48,0.48,2.5,2.4,11.2,0.9,9.5,0.5,0.39,0.28,6.3,112.3,101.2
Torrey Craig,Pho,215.9,F,30.41,32,18.8,39.2,15.5,9.5,20,80,0.8,97,61.9,0.619,84,36.9,0.369,58.8,0.588,60.3,0.603,7.2,4.8,14.5,1,7.4,0.59,0.59,0.63,6.9,121.2,102.9
Jae Crowder,Pho,206.38,F,30.86,60,27.5,57.2,15.7,9.5,75,76,0.76,112,45.5,0.455,380,38.9,0.389,55.5,0.555,57.4,0.574,10.1,4.7,9.7,2.1,10,0.82,0.43,0.92,6.7,112.9,106.4
Jarrett Culver,Min,207.01,G-F,22.24,34,14.7,30.6,18.2,12.9,48,60.4,0.604,115,48.7,0.487,53,24.5,0.245,44.9,0.449,47.6,0.476,5.3,3.1,11.3,0.7,6.8,0.5,0.26,0.82,6.1,95.3,106.6
Seth Curry,Phi,193.04,G,30.73,57,28.7,59.9,17.1,10,77,89.6,0.896,272,48.5,0.485,280,45,0.45,58.2,0.582,60.7,0.607,12.5,2.4,4.6,2.7,13.6,0.77,0.14,1.14,6,117.7,107.7
Stephen Curry,Gol,191.77,G,33.17,63,34.2,71.1,34.8,12.2,395,91.6,0.916,564,56.9,0.569,801,42.1,0.421,60.5,0.605,65.5,0.655,32,5.5,8.6,5.8,30.5,1.21,0.13,3.38,11.8,118.8,108.6
Nate Darling,Cha,195.58,G,22.71,7,3.7,7.8,15.4,10.7,3,100,1,0,0,0,7,28.6,0.286,42.9,0.429,54.1,0.541,1.3,0.1,2.1,0.1,5.1,0,0.14,0.14,2.5,,
Anthony Davis,Lal,227.33,F-C,28.18,36,32.3,67.2,29.2,9.5,214,73.8,0.738,513,53.6,0.536,100,26,0.26,51.2,0.512,55.6,0.556,21.8,7.9,13.8,3.1,16.4,1.25,1.64,2.06,10,110,103.1
Ed Davis,Min,218.44,C-F,31.95,23,13,27.1,7.9,12.4,12,83.3,0.833,44,43.2,0.432,0,0,0,43.2,0.432,48.7,0.487,2.1,5,20.8,0.9,9,0.57,0.57,0.3,6.5,127.7,95.9
Terence Davis,Tor,205.11,G,24,34,14.5,30.2,21.6,11.7,18,88.9,0.889,88,48.9,0.489,122,36.1,0.361,51.9,0.519,53.7,0.537,6.9,1.9,7.4,1.1,11.5,0.5,0.21,0.85,6.7,100.6,107.2
Terence Davis,Sac,205.11,G,24,27,21.5,44.8,22,11.5,37,78.4,0.784,101,53.5,0.535,145,37.2,0.372,54.9,0.549,57,0.57,11.1,3.3,8.4,1.7,11.3,1.04,0.26,1.26,7.4,106.5,111
Gabriel Deck,Okc,198.12,F,26.27,10,21.2,44.1,16.6,7.3,22,81.8,0.818,52,57.7,0.577,15,13.3,0.133,49.3,0.493,54.8,0.548,8.4,4,9.8,2.4,17.3,0.8,0,0.6,8.2,121,113.1
Dewayne Dedmon,Mia,223.52,C,31.76,16,13.2,27.4,19.3,14.5,27,74.1,0.741,60,75,0.75,5,20,0.2,71.5,0.715,73.5,0.735,7.1,5.4,23.4,0.8,9.6,0.56,0.38,0.81,9.5,134.8,90.5
Matthew Dellavedova,Cle,193.04,G,30.69,13,17.2,35.9,12.4,9.4,4,100,1,31,32.3,0.323,25,16,0.16,28.6,0.286,31.2,0.312,2.8,1.8,6,4.5,35.2,0.31,0.08,0.46,6.6,100.3,110.2
DeMar DeRozan,San,205.74,G-F,31.78,61,33.7,70.2,26.1,9.7,440,88,0.88,846,51.5,0.515,74,25.7,0.257,50.5,0.505,59.1,0.591,21.6,4.2,6.7,6.9,32,0.92,0.25,1.95,10.2,121.6,110.7
Mamadi Diakite,Mil,220.98,F,24.32,14,10.1,21,14.6,6.1,14,78.6,0.786,32,46.9,0.469,8,12.5,0.125,41.3,0.413,47.7,0.477,3.1,2.4,12.7,0.6,6.9,0.5,0.43,0.21,6.5,109,100.6
Hamidou Diallo,Okc,212.09,G,22.8,32,23.8,49.5,22.5,12.1,132,62.9,0.629,256,51.2,0.512,41,29.3,0.293,50.2,0.502,53.6,0.536,11.9,5.2,11.3,2.4,16.4,0.97,0.38,1.53,8.9,105.8,104.3
Hamidou Diallo,Det,212.09,G,22.8,20,23.3,48.5,21.6,11.7,68,66.2,0.662,132,49.2,0.492,41,39,0.39,51.4,0.514,54.9,0.549,11.2,5.4,12.8,1.2,8.3,0.5,0.6,1.35,7.2,104.5,103.6
Gorgui Dieng,Mem,222.25,C,31.33,22,16.9,35.2,16.9,14.8,43,88.4,0.884,60,55,0.55,48,47.9,0.479,62.5,0.625,68.2,0.682,7.9,4.5,14,1.3,10.6,0.77,0.64,1,8.5,126.8,102.2
Gorgui Dieng,San,222.25,C,31.33,16,11.3,23.6,18.1,13.2,24,83.3,0.833,33,66.7,0.667,22,31.8,0.318,59.1,0.591,64.8,0.648,5.3,2.6,12.3,1.2,14.9,0.56,0.13,0.63,9,125.2,103.7
Spencer Dinwiddie,Bro,203.84,G,28.11,3,21.4,44.7,16,21.2,6,100,1,9,44.4,0.444,7,28.6,0.286,43.8,0.438,53.6,0.536,6.7,4.3,11.2,3,17.5,0.67,0.33,1.67,8.3,102,108.5
Donte DiVincenzo,Mil,198.12,G,24.29,66,27.5,57.3,16.7,12.7,71,71.8,0.718,257,47.5,0.475,346,37.9,0.379,52.8,0.528,54.2,0.542,10.4,5.8,11,3.1,14.2,1.09,0.23,1.39,8.3,111.1,107.3
Luka Doncic,Dal,210.82,F-G,22.21,66,34.3,71.4,36,15.3,471,73,0.73,803,56.7,0.567,548,35,0.35,55,0.55,58.7,0.587,27.7,8,12.8,8.6,44.1,0.97,0.55,4.26,14.5,113.7,107.3
Luguentz Dort,Okc,204.47,G,22.08,52,29.7,61.8,21.7,10,164,74.4,0.744,310,43.2,0.432,329,34.3,0.343,47.5,0.475,51.3,0.513,14,3.6,6.4,1.7,8.8,0.87,0.37,1.52,5.9,99.9,109.3
Damyean Dotson,Cle,205.74,G,27.03,46,19.7,41.1,16.9,12,36,66.7,0.667,134,54.5,0.545,159,28.9,0.289,48.5,0.485,49.9,0.499,6.7,2,5.7,2,15.1,0.35,0.09,0.91,6.1,98.9,115
Devon Dotson,Chi,190.5,G,21.79,11,4.6,9.5,18.1,0,0,0,0,14,71.4,0.714,7,14.3,0.143,54.8,0.548,54.8,0.548,2.1,0.5,5.5,0.6,21.3,0.36,0,0,7.5,125.6,108
Sekou Doumbouya,Det,210.82,F,20.4,56,15.5,32.3,17.8,12.4,64,70.3,0.703,167,48.5,0.485,115,22.6,0.226,42.6,0.426,45.9,0.459,5.1,2.6,9.2,0.8,8,0.43,0.16,0.79,5.7,92.5,105.1
PJ Dozier,Den,205.74,G-F,24.56,50,21.8,45.4,17.2,10.9,66,63.6,0.636,205,49.3,0.493,149,31.5,0.315,48.4,0.484,50.3,0.503,7.7,3.6,9.5,1.8,11.2,0.62,0.44,0.94,6.8,103.5,107.8
Goran Dragic,Mia,200.66,G,35.03,50,26.7,55.7,24.5,16.4,122,82.8,0.828,310,48.1,0.481,244,37.3,0.373,51.5,0.515,55.3,0.553,13.4,3.3,7.2,4.4,25.9,0.66,0.14,2.38,8.7,104.2,106.6
Andre Drummond,Cle,229.24,C,27.77,25,28.9,60.2,31.3,15.6,129,59.7,0.597,372,48.4,0.484,8,0,0,47.4,0.474,50,0.5,17.5,13.5,26,2.6,16.2,1.6,1.16,3.24,11.8,96.9,100.8
Andre Drummond,Lal,229.24,C,27.77,21,24.8,51.6,22.5,16,76,60.5,0.605,192,53.1,0.531,0,0,0,53.1,0.531,55.4,0.554,11.9,10.2,23.1,1.4,9,1.1,0.95,2.05,8.9,106.1,89.5
Jared Dudley,Lal,373.38,F,35.85,12,6.7,14,5.9,18.2,0,0,0,3,0,0,6,33.3,0.333,33.3,0.333,33.3,0.333,0.5,1.8,14.6,0.4,7.6,0.08,0.08,0.17,4.2,93.2,100.7
Kris Dunn,Atl,207.01,G,27.16,4,11.4,23.6,16.1,17.9,4,75,0.75,10,10,0.1,2,0,0,8.3,0.083,18.2,0.182,1.3,1.5,7.2,0.5,5.4,0.5,0.5,0.75,3.5,40.9,91.4
Kevin Durant,Bro,225.43,F,32.63,35,33.1,68.9,31.2,14.5,238,88.2,0.882,414,57.7,0.577,189,45,0.45,60.8,0.608,66.6,0.666,26.9,7.1,11.8,5.6,27.5,0.71,1.29,3.43,12.4,121.4,109.3
Anthony Edwards,Min,205.74,G,19.78,72,32.1,67,27,10.8,272,77.6,0.776,690,48.4,0.484,520,32.9,0.329,48.8,0.488,52.3,0.523,19.3,4.7,7.9,2.9,14.6,1.14,0.49,2.24,8,101.4,113.6
Carsen Edwards,Bos,198.12,G,23.18,31,8.9,18.5,19.3,5.7,13,84.6,0.846,48,60.4,0.604,63,28.6,0.286,50.5,0.505,52.7,0.527,4,0.8,5.3,0.5,7.4,0.23,0.03,0.23,5.3,107.5,108.8
CJ Elleby,Por,201.3,F-G,20.92,30,6.4,13.4,17.4,6.4,15,73.3,0.733,32,56.3,0.563,34,20.6,0.206,43.2,0.432,46.8,0.468,2.3,1.1,8.9,0.3,7.1,0.2,0.1,0.17,5.7,104.4,104.7
Henry Ellenson,Tor,219.08,F-C,24.34,2,19.2,40,17.7,0,4,75,0.75,5,60,0.6,9,22.2,0.222,42.9,0.429,47.6,0.476,7.5,6,17.2,2.5,18.7,0,0.5,0,10.1,120.5,95.9
Wayne Ellington,Det,199.39,G,33.46,46,22,45.8,16.7,8.5,35,80,0.8,63,52.4,0.524,275,42.2,0.422,61.2,0.612,62.5,0.625,9.6,1.8,4.7,1.5,10.2,0.39,0.2,0.72,5.4,117.8,112.5
Joel Embiid,Phi,226.06,C-F,27.17,51,31.1,64.8,35.3,12.2,548,85.9,0.859,745,54.1,0.541,154,37.7,0.377,54.5,0.545,63.6,0.636,28.5,10.5,18.7,2.8,16.2,0.98,1.35,3.12,12.1,120.8,100.1
James Ennis III,Orl,210.82,F,30.88,41,24.1,50.1,13.9,11.6,87,80.5,0.805,139,50.4,0.504,104,43.3,0.433,56.6,0.566,61.3,0.613,8.4,4,8.7,1.5,9.3,0.78,0.17,0.9,6.1,119.4,108.5
Drew Eubanks,San,210.82,F-C,24.29,54,14,29.1,17.1,15.2,106,72.6,0.726,203,56.2,0.562,2,100,1,57.1,0.571,61.8,0.618,5.8,4.5,17,0.8,7.8,0.33,0.91,0.83,7.9,118.2,101.7
Dante Exum,Cle,207.01,G,25.84,6,19.4,40.3,12.7,20.7,2,50,0.5,15,53.3,0.533,11,18.2,0.182,42.3,0.423,42.8,0.428,3.8,2.8,8.2,2.2,15.7,0.67,0.33,1.17,5.9,86.4,109.6
Tacko Fall,Bos,249.56,C,25.43,18,7.5,15.7,13.2,14.4,15,33.3,0.333,29,72.4,0.724,0,0,0,72.4,0.724,66,0.66,2.6,2.9,21.4,0.2,3.1,0.06,1.11,0.33,6.1,123.1,96.3
Derrick Favors,Uta,223.52,F,29.84,68,15.3,31.8,13,11.5,80,73.8,0.738,241,64.3,0.643,2,0,0,63.8,0.638,66.3,0.663,5.4,5.5,19.2,0.6,6,0.47,1,0.53,6.8,136.6,94.2
Cristiano Felicio,Chi,213.36,F-C,28.86,18,4.6,9.7,12.5,16.6,16,56.3,0.563,11,63.6,0.636,2,0,0,53.8,0.538,57.4,0.574,1.3,1.4,17.2,0.5,13.6,0.22,0,0.22,8.4,124.2,100.3
Terrance Ferguson,Phi,205.74,G,23,13,3.8,7.9,9.6,36.4,0,0,0,2,50,0.5,5,0,0,14.3,0.143,14.3,0.143,0.2,0.1,1.1,0.2,4.9,0.08,0,0.31,1.7,,
Bruno Fernando,Atl,221.62,F-C,22.75,33,6.8,14.3,14.4,28.1,22,68.2,0.682,42,42.9,0.429,2,0,0,40.9,0.409,47.5,0.475,1.5,2.4,18.9,0.3,5.8,0.12,0.09,0.64,6,85.6,102.2
Yogi Ferrell,Cle,182.88,G,28.02,2,20.3,42.2,26.8,12.1,2,0,0,12,41.7,0.417,9,33.3,0.333,45.2,0.452,43.4,0.434,9.5,3.5,9.6,2.5,20.6,1.5,0.5,1.5,8.6,90.2,105.5
Yogi Ferrell,Lac,182.88,G,28.02,8,12.1,25.1,17.9,0,7,100,1,17,35.3,0.353,19,31.6,0.316,41.7,0.417,47.3,0.473,4.6,1.5,7,2.1,23.6,0.5,0.25,0,8.1,121.7,106.8
Dorian Finney-Smith,Dal,212.73,F,28.04,60,32,66.7,12.3,9,41,75.6,0.756,164,61.6,0.616,302,39.4,0.394,60,0.6,60.9,0.609,9.8,5.4,9.4,1.7,7.2,0.87,0.4,0.8,5.6,123.5,109.4
Malik Fitts,Lac,213.36,F,20,3,3.6,7.5,12.3,0,0,0,0,1,0,0,2,50,0.5,50,0.5,50,0.5,1,1,15.6,0,0,0,0,0,0,,
Malachi Flynn,Tor,190.5,G,23.02,47,19.7,41.1,19,10.5,56,80.4,0.804,173,42.2,0.422,168,32.1,0.321,45.2,0.452,48.3,0.483,7.5,2.5,6.9,2.9,21.4,0.83,0.15,0.91,7.7,102.9,109.5
Bryn Forbes,Mil,195.58,G,27.82,70,19.3,40.3,18.5,7.3,61,77,0.77,188,51.1,0.511,341,45.2,0.452,61.8,0.618,63.1,0.631,10,1.6,4.3,0.6,4.5,0.33,0.01,0.63,4.4,118,111.6
Trent Forrest,Uta,201.93,G,22.93,30,10.1,21,14.3,20.9,19,100,1,45,60,0.6,26,19.2,0.192,48.6,0.486,55.4,0.554,2.9,1.5,7.7,1.5,19.9,0.3,0.13,0.7,7.4,112.4,104.5
Evan Fournier,Orl,201.93,G-F,28.55,26,30.3,63,26.2,11.3,123,79.7,0.797,181,53.6,0.536,188,38.8,0.388,56,0.56,60.4,0.604,19.7,2.9,4.9,3.7,20.9,1.04,0.35,2.08,7.9,114,111
Evan Fournier,Bos,201.93,G-F,28.55,16,29.5,61.5,18,9.6,14,71.4,0.714,77,42.9,0.429,95,46.3,0.463,57.6,0.576,58.4,0.584,13,3.3,6.2,3.1,14.9,1.25,0.63,1.19,6.9,116.1,107.5
De'Aaron Fox,Sac,199.39,G,23.41,58,35.1,73.1,31,11.9,417,71.9,0.719,790,53.9,0.539,320,32.2,0.322,52.3,0.523,56.5,0.565,25.2,3.5,5.5,7.2,32.7,1.5,0.47,3,9.8,112.3,112.8
Robert Franks,Orl,228.6,F,20,7,14.4,30,15.3,5.6,13,92.3,0.923,13,61.5,0.615,15,33.3,0.333,55.4,0.554,63.8,0.638,6.1,2,7.2,0.7,7.5,0.43,0.43,0.29,5.7,133,110.4
Tim Frazier,Mem,189.23,G,30.54,5,12.4,25.8,18.2,15,6,33.3,0.333,12,25,0.25,8,0,0,15,0.15,17.7,0.177,1.6,1.6,6.8,3.2,30.8,0.4,0.2,0.8,6.5,63,103.5
Markelle Fultz,Orl,205.74,G,22.97,8,26.9,56,26.2,13.8,19,89.5,0.895,88,42,0.42,16,25,0.25,41.3,0.413,45.8,0.458,12.9,3.1,6,5.4,33.1,1,0.25,2.25,8.9,95.9,109.2
Wenyen Gabriel,Nor,215.9,F,24.14,21,11.5,23.9,14.4,18.2,17,64.7,0.647,28,39.3,0.393,32,40.6,0.406,50.8,0.508,53.3,0.533,3.4,2.6,12.2,0.5,5.9,0.43,0.38,0.71,5.7,102.6,101.9
Daniel Gafford,Chi,219.08,F-C,22.63,31,12.4,25.8,14.4,17.3,41,65.9,0.659,87,69,0.69,0,0,0,69,0.69,70,0.7,4.7,3.3,14.9,0.5,6.2,0.35,1.1,0.71,6.4,127.2,99.9
Daniel Gafford,Was,219.08,F-C,22.63,23,17.8,37,18.9,10.2,67,67.2,0.672,138,68.1,0.681,0,0,0,68.1,0.681,69.6,0.696,10.1,5.6,16.6,0.5,4.4,0.65,1.78,0.83,6.8,132.5,103.3
Danilo Gallinari,Atl,215.9,F,32.77,51,24,49.9,21.2,7.2,174,92.5,0.925,221,46.6,0.466,254,40.6,0.406,54.2,0.542,61.3,0.613,13.3,4.2,9.5,1.5,9.2,0.59,0.2,0.84,7.3,122.5,106.6
Langston Galloway,Pho,193.04,G,29.44,40,10.9,22.8,17.3,7.6,23,95.7,0.957,62,48.4,0.484,85,42.4,0.424,57.1,0.571,60.5,0.605,4.8,1.1,5.4,0.7,8,0.2,0,0.33,5.7,117.4,111.3
Darius Garland,Cle,195.58,G,21.3,54,33.1,69.1,24.9,16,132,84.8,0.848,536,47.9,0.479,266,39.5,0.395,51.7,0.517,54.7,0.547,17.4,2.4,4,6.1,30.9,1.22,0.11,3.04,7.7,104.5,113.1
Marc Gasol,Lal,223.52,C,36.3,52,19.1,39.8,11.8,19.7,50,72,0.72,72,52.8,0.528,122,41,0.41,58.2,0.582,60.6,0.606,5,4.1,12.1,2.1,14.6,0.5,1.12,1.02,7.3,114.5,97.4
Rudy Gay,San,220.98,F-G,34.75,63,21.5,44.9,23.6,8.8,102,80.4,0.804,350,45.1,0.451,278,38.1,0.381,50.5,0.505,53.2,0.532,11.4,4.8,11.9,1.4,9.7,0.73,0.63,1.03,7.9,103,105.5
Paul George,Lac,211.46,F,31.04,54,33.7,70.3,30,14.5,228,86.8,0.868,537,51,0.51,416,41.1,0.411,55.7,0.557,59.8,0.598,23.3,6.6,11.1,5.2,24.6,1.15,0.44,3.31,11,112.7,105.6
Taj Gibson,Nyk,223.52,F,35.9,45,20.8,43.3,9.7,10.8,55,72.7,0.727,143,67.1,0.671,15,20,0.2,63.6,0.636,66.1,0.661,5.4,5.6,14.5,0.8,5.4,0.69,1.09,0.49,5.6,137.9,99.5
Harry Giles III,Por,221.62,F-C,23.07,38,9.2,19.1,15.9,15.5,27,59.3,0.593,74,45.9,0.459,23,34.8,0.348,47.4,0.474,49.6,0.496,2.8,3.5,20.4,0.8,11.3,0.21,0.34,0.53,8.6,105.8,98.5
Shai Gilgeous-Alexander,Okc,212.09,G-F,22.85,35,33.7,70.2,27.8,13.7,229,80.8,0.808,395,54.7,0.547,170,41.8,0.418,57.1,0.571,62.3,0.623,23.7,4.7,7.3,5.9,31.2,0.77,0.66,3.03,10.3,117.7,111.9
Anthony Gill,Was,215.9,F,28.58,26,8.4,17.5,14.2,10.7,16,81.3,0.813,36,63.9,0.639,24,29.2,0.292,55.8,0.558,59.7,0.597,3.1,2,12.4,0.4,6.7,0.38,0.15,0.31,6.4,119.2,102
Freddie Gillespie,Tor,220.98,F,20,20,19.6,40.8,12.2,10.9,33,69.7,0.697,84,52.4,0.524,0,0,0,52.4,0.524,56.3,0.563,5.6,4.9,13.6,0.5,3.2,0.65,1.05,0.6,4.9,119.5,105
Rudy Gobert,Uta,234.95,C,28.89,71,30.8,64.2,17,13.7,374,62.3,0.623,575,68,0.68,4,0,0,67.5,0.675,68.3,0.683,14.3,13.5,23.3,1.3,6,0.56,2.68,1.66,8.2,129.9,99.1
Brandon Goodwin,Atl,234.95,G,25.62,47,13.2,27.5,19.5,13,43,65.1,0.651,120,43.3,0.433,103,31.1,0.311,44.8,0.448,47.1,0.471,4.9,1.5,6.1,2,21.7,0.36,0,0.77,7.4,100.2,110.2
Aaron Gordon,Orl,212.73,F,25.67,25,29.4,61.3,23.9,16.5,105,62.9,0.629,181,47.5,0.475,112,37.5,0.375,50.9,0.509,53.7,0.537,14.6,6.6,11.7,4.2,23,0.64,0.8,2.68,10.1,102.8,109.9
Aaron Gordon,Den,212.73,F,25.67,25,25.9,54,17.1,11.4,44,70.5,0.705,142,60.6,0.606,64,26.6,0.266,54.1,0.541,56.4,0.564,10.2,4.7,10.3,2.2,11.8,0.68,0.56,1.16,7.3,114.6,110.3
Eric Gordon,Hou,205.74,G,32.39,27,29.2,60.9,25.2,10.9,114,82.5,0.825,157,57.3,0.573,210,32.9,0.329,52.7,0.527,57.7,0.577,17.8,2.1,3.9,2.6,14.6,0.52,0.48,1.89,6.3,108.4,115.8
Devonte' Graham,Cha,198.76,G,26.23,55,30.2,62.8,21.4,10.2,158,84.2,0.842,192,38,0.38,477,37.5,0.375,51,0.51,55.2,0.552,14.8,2.7,4.8,5.4,26.3,0.87,0.11,1.53,7.9,115.3,113.6
Jerami Grant,Det,220.35,F,27.18,54,33.9,70.6,28.5,9.1,343,84.5,0.845,603,47.3,0.473,329,35,0.35,49.1,0.491,55.6,0.556,22.3,4.6,7.6,2.8,14.3,0.65,1.07,2.02,7.8,108.8,110
Danny Green,Phi,208.28,G,33.9,69,28,58.4,14,10.5,40,77.5,0.775,113,43.4,0.434,432,40.5,0.405,57.2,0.572,58.1,0.581,9.5,3.8,7.4,1.7,8.3,1.33,0.81,0.96,5.6,113.3,105
Draymond Green,Gol,216.54,F,31.2,63,31.5,65.5,13.1,31,88,79.5,0.795,254,53.5,0.535,126,27,0.27,49.2,0.492,53,0.53,7,7.1,12.1,8.9,36.5,1.7,0.83,2.98,9.7,109.8,101.2
JaMychal Green,Den,219.08,F-C,30.9,58,19.3,40.2,17.6,11.7,57,80.7,0.807,176,53.4,0.534,198,39.9,0.399,56.8,0.568,59,0.59,8.1,4.8,14,0.9,6.4,0.45,0.38,0.91,6.8,115.2,101.5
Javonte Green,Bos,200.66,G-F,27.82,25,13.8,28.8,12.1,13.4,30,66.7,0.667,49,65.3,0.653,22,31.8,0.318,59.9,0.599,62.4,0.624,4.2,2.1,8.4,0.4,4.3,0.72,0.08,0.52,4.4,119.4,106.5
Javonte Green,Chi,200.66,G-F,27.82,16,8,16.7,14,14.5,10,100,1,23,47.8,0.478,8,37.5,0.375,50,0.5,57.9,0.579,2.6,1.2,8.2,0.4,6.1,0.63,0.25,0.38,5.4,111.5,102.4
Jeff Green,Bro,216.54,F,34.72,68,27,56.2,15.6,8.2,161,77.6,0.776,280,56.4,0.564,250,41.2,0.412,59,0.59,62.4,0.624,11,3.9,7.9,1.6,7.8,0.53,0.4,0.79,6.1,121.8,111
Josh Green,Dal,207.65,G,20.5,39,11.4,23.8,11.9,14.2,23,56.5,0.565,68,55.9,0.559,25,16,0.16,47.3,0.473,49,0.49,2.6,2,9.7,0.7,8.3,0.41,0.08,0.44,5.4,105.4,108.2
Blake Griffin,Det,211.46,F,32.17,20,31.3,65.2,19.6,11.4,62,71,0.71,98,42.9,0.429,124,31.5,0.315,45.3,0.453,49.1,0.491,12.3,5.2,9.2,3.9,18.4,0.7,0.1,1.6,8,100.9,109
